NAICS,Industry,Year,TFP,TFP_growth,job_reallocation_rate,firm_birth_rate,firm_death_rate,emp,output,output_share
42,Wholesale trade,1999,91.807,-0.006546768817902504,0.2782639964811029,0.07900366263163575,0.08328837035109213,5637113,826.3,0.059331222310779856
42,Wholesale trade,2000,93.34,0.01669807313167837,0.2746689317538209,0.06959620558197652,0.08013094312197983,5828021,880.5,0.05840951003675056
42,Wholesale trade,2001,95.246,0.020419970002142573,0.3151479760898399,0.0826302513699226,0.08163160115843425,5894191,860.4,0.056529766167552536
42,Wholesale trade,2002,96.086,0.008819268000755942,0.3096158727543828,0.08371603551647899,0.08541848363043038,5805894,891.9,0.058228657979265144
42,Wholesale trade,2003,99.432,0.034822971088400045,0.2932652811160784,0.07787878787878788,0.07977433913604126,5825798,929.3,0.05785813456856995
42,Wholesale trade,2004,101.159,0.0173686539544613,0.26902181219303256,0.0718189217472191,0.07394739221993979,5913237,1019.3,0.05882624528922567
42,Wholesale trade,2005,102.2,0.01029073043426676,0.2627421743081776,0.07909617320433852,0.07643557434302305,5976102,1107.8,0.05860786481782254
42,Wholesale trade,2006,100.413,-0.017485322896281907,0.26094503436069744,0.06549269631183924,0.07691066096360262,6044465,1196.8,0.059764994931361136
42,Wholesale trade,2007,101.342,0.009251790106858726,0.2880147048629941,0.0668858861408447,0.07622176215884377,6112242,1270.9,0.06018459323663262
42,Wholesale trade,2008,100.971,-0.0036608711097076974,0.27554951915190773,0.050099051021989,0.07852224445330758,6128426,1327.1,0.06110036832412523
42,Wholesale trade,2009,96.679,-0.04250725455823956,0.21188673516035064,0.06455169699683806,0.08664793931251612,5822280,1154.9,0.05850023807352927
42,Wholesale trade,2010,100.085,0.03522998789809573,0.2183183430889448,0.07234520873013395,0.0810323234215575,5600702,1359.2,0.0647756300278318
42,Wholesale trade,2011,98.787,-0.012968976370085317,0.2324071569897371,0.08170393260982925,0.07519099597884783,5638657,1530.8,0.06836919723807737
42,Wholesale trade,2012,99.527,0.007490864182534196,0.24096099282156222,0.06207232267037552,0.06733310152990264,5765869,1655.0,0.07063231930076137
42,Wholesale trade,2013,99.436,-0.0009143247560963186,0.2342066606000955,0.0655989262007711,0.0702129072624761,5872240,1753.5,0.07181119001400595
42,Wholesale trade,2014,100.244,0.008125829679391794,0.2128492167024438,0.059820835981697316,0.06782035839826946,5944267,1857.7,0.07256725664753884
42,Wholesale trade,2015,102.154,0.019053509436973703,0.19979170502976976,0.05903946702349472,0.0698752871793238,6051228,1904.9,0.07370934165009248
42,Wholesale trade,2016,100.844,-0.012823775867807474,0.2117982371709207,0.04834519088996092,0.0709878752308287,6117070,1923.3,0.07302570878563862
42,Wholesale trade,2017,100,-0.008369362579826234,0.23876644347676385,0.057154679038158046,0.07147172657734684,6098884,2053.9,0.07429096420187581
42,Wholesale trade,2018,99.426,-0.005739999999999967,0.21259969456813438,0.05474923010056057,0.0702846677637811,6126198,2175.1,0.07426286822446498
42,Wholesale trade,2019,99.075,-0.003530263713716675,0.19509580179190858,0.04745121863785758,0.07254093257210133,6167881,2232.8,0.07407210817553313
42,Wholesale trade,2020,101.643,0.025919757759273354,0.19934240258527794,0.06255999380709087,0.07476389533983589,6131925,2126.2,0.07291270159700146
42,Wholesale trade,2021,98.493,-0.0309908208140256,0.19289170527550556,0.07174568095702705,0.07192200840886026,5914984,2538.0,0.07626981121869422
42,Wholesale trade,2022,95.323,-0.03218502837765125,0.20953702564988916,1.441793840775664,0.07499941213817105,6128321,2883.9,0.07744217146355742
51,Information,1987,78.021,,0.4020561068149929,0.17878581463663842,0.14785644344161097,2539117,350.7,0.05080767837739949
51,Information,1988,77.394,-0.008036297919790769,0.27139136512547785,0.14961491606615598,0.11558712394953645,2576896,375.0,0.049896215870988345
51,Information,1989,78.51,0.014419722459105389,0.3094574590856286,0.13650432316939237,0.11294155234729128,2633366,397.7,0.049579873837484724
51,Information,1990,78.201,-0.003935804356133166,0.24796160283152305,0.10478159932889834,0.11116096685460114,2731731,422.6,0.05004322237616493
